                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0683,                  2.751,                 1.7004,                      1,                0.71772,                   0.87,                0.47788,                  1.221,                 1.9043,                 2.4571,                      0,                      0,                      0
                      2,                 1.1989,                 2.5592,                 1.7374,                      1,                0.70557,                   0.87,                0.47396,                 1.2329,                 1.9037,                 2.4352,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 1.1188,                 2.6692,                 1.7119,                      1,                0.68778,                   0.87,                0.47494,                 1.2115,                 1.9212,                 2.4028,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 1.0764,                 2.5204,                 1.6194,                      1,                0.68567,                0.91167,                0.49813,                 1.1779,                 1.9442,                 2.3718,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                  1.047,                 2.5862,                 1.6435,                      1,                0.69897,                0.91167,                0.52649,                 1.1714,                 1.9361,                 2.3455,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 1.2177,                 2.8606,                 1.7659,                      1,                   0.75,                  0.995,                0.55263,                 1.0825,                 15.596,                 2.0431,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                0.92274,                 1.7404,                 1.5327,                0.73419,                      1,                  0.995,                0.64073,                 1.0646,                 15.155,                 2.0074,             0.00011287,             0.00011287,             0.00011287
                      8,                0.95068,                 1.6312,                 1.5499,                0.91295,                      1,                  0.995,                0.70564,                0.85892,                 1.7132,                 1.9084,              0.0001303,              0.0001303,              0.0001303
                      9,                0.73942,                  1.347,                 1.3746,                0.90609,                      1,                  0.995,                0.50119,                 1.2845,                 2.6155,                 2.4993,             0.00014733,             0.00014733,             0.00014733
                     10,                0.83719,                0.99279,                 1.4124,                0.98816,                      1,                  0.995,                0.65776,                 1.0551,                  1.154,                 2.3666,             0.00016396,             0.00016396,             0.00016396
                     11,                0.65781,                0.86901,                 1.2563,                0.98963,                      1,                  0.995,                0.64578,                 1.2113,                 1.5156,                 2.6499,              0.0001802,              0.0001802,              0.0001802
                     12,                0.59495,                 0.7765,                 1.2297,                   0.75,                   0.75,                0.62033,                0.44657,                 1.4167,                 2.0466,                 3.7292,             0.00019604,             0.00019604,             0.00019604
                     13,                0.54881,                0.67565,                 1.1775,                      1,                0.99045,                  0.995,                   0.54,                 1.7983,                 2.2177,                 4.5613,             0.00021149,             0.00021149,             0.00021149
                     14,                0.47867,                0.57215,                 1.0596,                      1,                      1,                  0.995,                0.46906,                 1.6407,                  6.525,                 3.8288,             0.00022654,             0.00022654,             0.00022654
                     15,                0.59925,                0.86249,                 1.2257,                      1,                      1,                  0.995,                0.57998,                 1.4702,                 3.1612,                 3.5553,             0.00024119,             0.00024119,             0.00024119
                     16,                0.51339,                0.65436,                 1.1272,                      1,                      1,                  0.995,                 0.5881,                 1.3175,                 2.8997,                 3.1923,             0.00025545,             0.00025545,             0.00025545
                     17,                0.62999,                0.62541,                 1.2588,                      1,                      1,                  0.995,                0.57157,                 1.2231,                  2.366,                 3.1142,             0.00026931,             0.00026931,             0.00026931
                     18,                0.57584,                0.63192,                 1.1387,                      1,                      1,                  0.995,                0.57157,                 1.2231,                  2.366,                 3.1142,             0.00028278,             0.00028278,             0.00028278
                     19,                0.62852,                0.69894,                 1.1601,                0.98773,                      1,                  0.995,                0.52157,                 1.2426,                 1.7418,                 3.3161,             0.00029585,             0.00029585,             0.00029585
